first,second,max_tag,appearances
WDT,won,VBD,3
JJ,clarinetist,NN,3
JJ,jazz,NN,3
JJ,pop,NN,3
JJ,notable,JJ,3
JJ,exceptions,NNS,3
NNP,Age,NNP,3
",",dubbed,VBN,4
NN,black,JJ,4
JJ,velvet,NN,3
WDT,reflected,VBD,3
IN,pieces,NNS,3
NNP,Gomez,NNP,3
BOS,Keeping,VBG,3
VBG,techniques,NNS,3
POS,tight,JJ,3
JJ,crowd,NN,3
VB,waiting,VBG,3
NN,singer,NN,3
NNP,sang,VBD,3
JJ,setting,NN,3
JJ,images,NNS,3
",",etc,FW,3
CC,ask,VB,3
BOS,Either,DT,5
DT,live,JJ,3
DT,intricate,JJ,3
IN,pictures,NNS,3
NN,music,NN,3
JJ,sell,NN,3
``,consensus,NN,3
NNP,drew,VBD,3
VBD,uncovered,VBN,3
NN,fire,NN,3
DT,extreme,JJ,4
NNS,rights,NNS,3
JJ,U.N.,NNP,3
IN,references,NNS,3
WDT,once,RB,3
NN,somehow,RB,3
IN,ideas,NNS,3
WDT,of,IN,3
VBP,isolated,VBN,3
JJ,trait,NN,3
'',similar,JJ,3
CC,Pine,NNP,3
NN,seed,NN,3
CC,sorghum,NN,3
NN,feed,NN,3
WDT,then,RB,3
DT,1930s,NNS,5
IN,cotton,NN,3
DT,anthers,NNS,3
DT,inch,NN,3
RB,attached,VBN,3
NNP,Leemans,NNP,3
VBZ,expressed,VBN,3
VBP,then,RB,3
CC,produce,VB,5
CC,half,NN,6
IN,crops,NNS,3
CC,corn,NN,3
VBN,research,NN,3
CC,biotechnology,NN,3
CC,concern,NN,3
NN,containing,VBG,3
VBZ,carried,VBN,3
WDT,remains,VBZ,3
VBZ,active,JJ,3
JJ,rather,RB,3
IN,Scott,NNP,3
VB,simple,JJ,3
VBZ,wind,NN,3
IN,carriers,NNS,3
CC,Industrial,NNP,3
NNS,putting,VBG,3
PRP$,enormous,JJ,3
IN,unprecedented,JJ,3
NNS,refused,VBD,3
PRP,this,DT,3
JJ,pride,NN,3
NNS,aligned,VBN,3
POS,finance,NN,3
VB,irresponsible,JJ,3
RP,funds,NNS,3
JJS,securities,NNS,3
NNS,accounts,NNS,3
DT,anger,NN,3
NNP,CORP.,NNP,3
VBG,David,NNP,3
NNP,Campaneris,NNP,3
CD,moves,NNS,3
NNP,Weaver,NNP,3
DT,boys,NNS,3
JJ,pro,JJ,6
CC,golf,NN,3
NN,tours,NNS,3
NNP,Fingers,NNP,3
``,Nothing,NN,3
DT,estate,NN,3
DT,fans,NNS,3
WDT,never,RB,3
RB,ends,VBZ,3
VBZ,stopped,VBN,3
NNP,cards,NNS,3
:,once,RB,5
PRP$,fans,NNS,3
TO,themselves,PRP,3
CC,something,NN,3
NNP,Broberg,NNP,3
",",working,VBG,3
DT,now-defunct,JJ,3
JJ,Washington,NNP,3
VBD,baseball,NN,3
RB,drove,VBD,3
DT,lean,JJ,3
JJ,leave,NN,4
NN,troubles,NNS,3
PRP,personally,RB,3
PRP$,deficiencies,NNS,3
NNP,Angell,NNP,3
TO,remember,VB,3
PRP$,brow,NN,3
IN,malice,NN,3
VBP,played,VBN,3
NNP,municipal,JJ,3
DT,45-year-old,JJ,3
",",knows,VBZ,3
``,how,WRB,3
DT,fat,JJ,5
BOS,Expect,VB,3
MD,throw,VB,3
POS,oldest,JJS,3
JJR,speed,NN,3
DT,wad,NN,3
PRP$,years,NNS,3
PRP,around,RB,5
BOS,Alltel,NNP,3
POS,cellular,JJ,3
VBZ,operations,NNS,3
",",Ga,NNP,3
VBZ,local,JJ,3
BOS,Stewart,NNP,3
NNP,Light,NNP,3
BOS,Liberty,NNP,3
NNP,exchanged,VBD,3
IN,Toronto-based,JJ,3
JJS,department,NN,3
POS,gross,JJ,3
TO,construction,NN,3
VBP,caused,VBN,3
$,"6,000",CD,3
NN,Oct,NNP,3
BOS,Trade,NNP,3
POS,so-called,JJ,3
JJ,golden,JJ,3
JJS,interests,NNS,3
VB,assured,VBN,3
JJ,contest,NN,3
POS,auto,NN,3
JJ,luxury-car,NN,3
TO,amass,VB,3
NNS,certainly,RB,3
VBZ,Jaguar,NNP,3
VBN,Jaguar,NNP,3
POS,hopes,NNS,3
IN,remaining,VBG,3
JJ,GM,NNP,3
NNP,pays,VBZ,3
NNS,waiting,VBG,3
``,consider,VB,3
DT,our,PRP$,3
VB,matters,NNS,3
RBR,valuable,JJ,3
JJ,independence,NN,3
DT,calculated,JJ,3
IN,protests,NNS,3
NN,Labor,NNP,3
DT,Conservative,JJ,3
VBD,Daniel,NNP,3
POS,cabinet,NN,3
VB,GM,NNP,3
NNP,Tomash,NNP,3
DT,67-year-old,JJ,3
NN,retirement,NN,3
NNP,Kuehn,NNP,3
NNP,Rubendall,NNP,3
BOS,Jerome,NNP,3
TO,soften,VB,3
IN,retreating,VBG,3
WDT,normally,RB,3
NN,targeted,VBN,3
VBG,party,NN,3
POS,fate,NN,3
MD,directly,RB,3
NN,direction,NN,3
VBD,rising,VBG,3
CC,Development,NNP,3
NN,Jaguar,NNP,3
VBN,short,JJ,4
-RRB-,each,DT,3
BOS,French,JJ,4
DT,Economic,NNP,3
POS,revised,JJ,6
BOS,Metromedia,NNP,3
NNP,Long,NNP,3
VBG,acquisitions,NNS,3
TO,closely,RB,3
PRP$,unit,NN,3
NNS,service,NN,3
",",matching,VBG,3
POS,target,NN,3
DT,rose,VBD,4
VBN,projecting,VBG,3
NN,consumer,NN,3
NNP,Postal,NNP,3
VBP,capable,JJ,3
NNP,Donovan,NNP,3
IN,Banxquote,NNP,3
WRB,market,NN,3
JJS,yields,NNS,3
JJ,jumbo,JJ,3
$,"90,000",CD,3
VBG,-RRB-,-RRB-,3
DT,perfectly,RB,3
JJ,Saturday,NNP,3
DT,heady,JJ,3
DT,"800,000",CD,3
TO,resemble,VB,3
DT,gray,JJ,3
IN,ballooning,NN,4
PRP,requires,VBZ,3
VBD,lots,NNS,3
VBG,who,WP,3
PRP,followed,VBD,3
PRP$,little,JJ,3
FW,--,:,3
DT,convention,NN,3
VBD,white,JJ,3
TO,rest,VB,3
JJ,pleasure,NN,3
VBD,around,IN,9
DT,trailer,NN,3
VBD,come,VBN,3
NN,road,NN,3
DT,golf,NN,3
PRP,sat,VBD,3
PRP,figured,VBD,3
JJ,companion,NN,3
NNP,defended,VBD,3
VB,damage,NN,3
IN,intervention,NN,3
VBN,seriously,RB,3
VBD,recognized,VBN,3
VBD,convinced,JJ,4
PRP$,testimony,NN,3
IN,tension,NN,3
PRP,involved,VBD,4
CC,fiscal,JJ,3
CC,nonetheless,RB,3
NNS,department,NN,3
NN,clearing,NN,3
VBP,complaining,VBG,3
VB,errors,NNS,3
DT,destruction,NN,3
RB,tougher,JJR,4
DT,treaty,NN,3
CC,smaller,JJR,3
VB,adequate,JJ,3
WP,generally,RB,3
JJ,arms-control,NN,3
VBG,Soviet,JJ,3
VBN,Soviet,JJ,3
JJ,planes,NNS,3
VBP,suspected,VBN,3
VB,pressing,VBG,3
IN,charter,NN,3
IN,jobless,JJ,3
CC,Neave,NNP,3
NNP,looks,VBZ,3
DT,heaviest,JJS,3
JJS,consumers,NNS,3
",",Coke,NNP,3
VBZ,typically,RB,3
BOS,Coke,NNP,4
IN,packaging,NN,3
POS,boards,NNS,3
BOS,Giovanni,NNP,3
VBZ,approximately,RB,3
IN,IFI,NNP,3
DT,Agnelli,NNP,3
VB,hands,NNS,3
NN,tree,NN,3
VBG,so-called,JJ,3
CC,illegal,JJ,3
BOS,Vice,NNP,3
",",opening,VBG,3
NNP,vetoed,VBD,3
POS,labor,NN,3
IN,opposing,VBG,4
``,less,RBR,4
``,adequate,JJ,3
JJ,safeguards,NNS,3
IN,single-A-3,JJ,3
IN,disposing,VBG,3
IN,Armstrong,NNP,3
CD,total,NN,5
NNS,hailed,VBD,3
IN,scale,NN,3
POS,brands,NNS,3
RB,listed,VBN,6
",",Armstrong,NNP,3
VB,applied,VBN,3
POS,primary,JJ,3
CC,economists,NNS,3
DT,clue,NN,3
DT,horizon,NN,3
POS,weakness,NN,3
VBD,somewhere,RB,3
JJ,poll,NN,3
DT,components,NNS,3
POS,operation,NN,3
CD,weekly,JJ,3
MD,auction,VB,3
DT,KGB,NNP,3
DT,Unix,NNP,3
POS,egg,NN,3
MD,enter,VB,3
CC,become,VB,7
NNP,Berkeley,NNP,3
VBZ,fun,NN,3
BOS,Finding,VBG,4
MD,lay,VB,3
MD,monitor,VB,3
TO,alert,VB,3
VBG,Berkeley,NNP,3
JJ,stones,NNS,3
RP,other,JJ,3
PRP,but,CC,3
DT,sensitive,JJ,3
CC,seems,VBZ,3
TO,'','',3
NN,linking,VBG,3
VBP,national,JJ,3
VBZ,deputy,JJ,4
BOS,Mips,NNP,3
CD,instructions,NNS,3
DT,boon,NN,3
WDT,expects,VBZ,3
JJ,wins,NNS,3
NNP,chips,NNS,3
NNP,Logan,NNP,3
VBZ,essentially,RB,3
NNP,Ways,NNPS,5
TO,congressional,JJ,3
POS,authority,NN,3
IN,insolvent,JJ,3
VB,savings,NNS,3
PRP$,bad,JJ,3
RB,provided,VBD,6
VBN,assets,NNS,3
VBD,listed,VBN,3
CD,restaurants,NNS,3
JJ,specialties,NNS,3
",",sympathetic,JJ,3
VBN,Ms.,NNP,3
CD,copy,NN,3
NN,chefs,NNS,3
VBZ,regularly,RB,3
DT,overwhelming,JJ,3
CC,butter,NN,3
",",Conn.-based,JJ,3
DT,Wilmington,NNP,3
RB,boosted,VBD,3
NN,adjusted,VBN,3
VBN,five,CD,3
VB,recorded,VBN,3
DT,120-day,JJ,3
VB,HealthVest,NNP,3
IN,facilities,NNS,3
",",HealthVest,NNP,3
RB,exercise,VB,4
IN,properties,NNS,3
NNP,actually,RB,3
NN,bind,NN,3
JJ,elimination,NN,3
JJ,palms,NNS,3
VBG,black,JJ,3
DT,king,NN,3
DT,arrogant,JJ,3
NN,indicted,VBD,4
``,official,JJ,3
IN,theft,NN,3
CC,bribery,NN,3
PRP,owned,VBD,3
TO,feed,VB,3
CD,bribe,NN,3
JJ,occasions,NNS,3
DT,courthouse,NN,3
VBP,stepped,VBN,4
MD,sometimes,RB,3
DT,restraints,NNS,3
BOS,Fear,NN,3
PRP$,class,NN,3
NN,review,NN,3
DT,daughter,NN,3
NNP,Trial,NNP,3
VBG,local,JJ,3
DT,smartest,JJS,3
RB,sat,VBD,3
VBD,spoken,VBN,3
JJ,misconduct,NN,3
RB,awarded,VBD,3
NN,Edward,NNP,3
VBD,best,RBS,3
PRP$,hats,NNS,3
DT,teachers,NNS,3
BOS,Visitors,NNS,3
RB,proud,JJ,3
VBD,reason,NN,3
JJ,wrongdoing,NN,3
JJ,lender,NN,3
IN,Laurel,NNP,3
DT,adversary,NN,3
NN,attached,VBN,3
POS,loan,NN,3
``,absolutely,RB,3
",",quickly,RB,3
NN,prosecutors,NNS,3
JJ,bench,NN,3
VBN,trimmed,VBN,4
NN,blocks,NNS,3
",",uses,VBZ,3
IN,newspapers,NNS,3
VBP,reading,VBG,3
RBR,comfortable,JJ,3
CC,increase,VB,3
VB,traded,VBN,3
CC,single-B-plus,JJ,3
NNP,Wastewater,NNP,3
VBD,won,VBN,3
IN,wastewater,NN,3
CD,A,NNP,3
CD,B,NNP,3
IN,calculating,VBG,3
NNS,yield,VBP,3
JJ,whole,JJ,3
NN,remaining,VBG,3
JJ,stated,VBN,3
VBN,maturity,NN,3
IN,IBJ,NNP,3
",",executives,NNS,3
RP,negotiations,NNS,3
BOS,Regarding,VBG,3
JJ,trust,NN,3
NNP,Hartt,NNP,3
",",warned,VBD,3
CC,Fannie,NNP,3
VBP,watched,VBN,3
IN,golf,NN,3
NN,courses,NNS,3
VBZ,Fannie,NNP,3
``,Interest,NN,3
RB,triggered,VBN,5
WDT,claims,VBZ,3
VBP,changing,VBG,3
RP,interest,NN,3
VBP,privately,RB,3
VBP,attractive,JJ,3
CD,reasons,NNS,3
VBP,safe,JJ,3
RB,backed,VBD,7
RB,exceeds,VBZ,3
TO,reinvest,VB,3
CD,$,$,3
RB,alive,JJ,3
PRP$,demise,NN,3
BOS,Therefore,RB,3
NNS,occur,VBP,3
NN,acquires,VBZ,3
JJR,position,NN,3
VBN,greater,JJR,3
VBP,shareholders,NNS,3
VBP,backed,VBN,3
JJ,less,RBR,5
NN,issuing,VBG,3
DT,viable,JJ,3
NN,significantly,RB,3
JJ,toward,IN,3
VBP,adopted,VBN,3
VB,excellent,JJ,3
DT,time-limited,JJ,3
CD,rare,JJ,3
BOS,Pennzoil,NNP,3
DT,prudent,JJ,3
WDT,owned,VBD,3
NN,automatically,RB,3
RBR,widespread,JJ,3
DT,Ontario,NNP,3
IN,libel,NN,3
NN,elected,VBD,3
NNP,nominees,NNS,3
RB,resigned,VBD,5
IN,actions,NNS,3
",",equivalent,JJ,3
NNP,Bronfman,NNP,3
NNP,owner,NN,3
IN,tony,JJ,3
JJ,giant,NN,4
DT,all-time,JJ,3
VB,positive,JJ,3
CC,businessmen,NNS,3
",",yes,UH,4
TO,refrain,VB,3
NNP,include,VBP,3
CD,East,NNP,3
CC,Mitsui,NNP,3
",",annual,JJ,3
CC,sought,VBD,3
TO,Mitsubishi,NNP,3
TO,interfere,VB,3
BOS,Rockefeller,NNP,3
NNP,Palace,NNP,3
NNP,built,VBD,4
DT,dubious,JJ,3
RB,suggests,VBZ,3
NN,inherent,JJ,3
PRP,firmly,RB,3
MD,barely,RB,3
POS,finances,NNS,3
JJS,building,NN,3
JJ,enemies,NNS,3
IN,ventures,NNS,3
NNPS,studio,NN,3
JJ,exclusive,JJ,3
NNS,exclusively,RB,3
MD,amount,VB,3
",",off-again,JJ,3
POS,CBS,NNP,3
JJ,MGM,NNP,3
MD,head,VB,3
VBD,Warner,NNP,3
VBD,tried,VBN,3
VBG,Sony,NNP,3
CC,co-chief,JJ,3
VBZ,complete,JJ,3
",",denied,VBD,3
VBN,my,PRP$,3
VB,attractive,JJ,3
NNP,duo,NN,3
RB,drawn,VBN,3
",",producers,NNS,3
RB,free,JJ,3
POS,guilty,JJ,3
IN,spare,JJ,3
DT,Utility,NNP,3
VBZ,public,JJ,3
",",Southern,NNP,3
CD,Florida,NNP,3
IN,monthly,JJ,3
DT,guise,NN,3
NNP,senior,JJ,4
NN,audit,NN,3
POS,upscale,JJ,3
",",creative,JJ,3
IN,Seagram,NNP,3
PRP,apart,RB,3
JJ,leg,NN,3
VB,heavy,JJ,3
RB,asking,VBG,3
IN,Hispanic,JJ,4
DT,distributor,NN,3
NNP,Fresca,NNP,3
DT,milk,NN,3
CC,parts,NNS,3
VBZ,adding,VBG,3
BOS,Jewelry,NN,3
JJ,jewelry,NN,3
CC,lately,RB,3
",",retailers,NNS,3
POS,fashion,NN,3
VBG,fast,RB,4
NNS,gains,NNS,3
VBP,hiring,VBG,4
NN,focuses,VBZ,3
BOS,Marketers,NNS,3
DT,convenience,NN,3
IN,oat,NN,3
IN,NWA,NNP,3
VBP,pursuing,VBG,3
IN,Northwest,NNP,3
MD,resolve,VB,3
JJ,checks,NNS,3
VB,detected,VBN,3
NN,warning,VBG,4
JJ,passenger,NN,3
DT,multimillion-dollar,JJ,3
NNP,planned,VBD,3
IN,spreading,VBG,3
PRP$,various,JJ,3
NNP,movement,NN,3
RB,1980s,NNS,3
PRP$,opponents,NNS,3
DT,spectacular,JJ,3
NNP,era,NN,3
JJ,wealth,NN,3
IN,branches,NNS,3
CC,Louisiana,NNP,3
DT,Seagram,NNP,3
CC,newspapers,NNS,3
NNP,del,FW,6
PRP$,factories,NNS,3
",",kept,VBD,3
NN,flowing,VBG,3
",",journalists,NNS,3
NNS,illustrate,VBP,3
PRP,attended,VBD,3
DT,dual,JJ,3
DT,investigator,NN,3
NNP,continue,VBP,3
RB,investing,VBG,4
IN,Tiananmen,NNP,3
RB,negotiated,VBN,3
-LRB-,with,IN,3
NNP,Injury,NNP,3
NNP,Settlement,NNP,3
POS,bankruptcy-law,NN,3
VBN,place,NN,3
PRP$,Manville,NNP,3
CC,Manville,NNP,3
POS,convertible,JJ,3
VBG,programs,NNS,3
VBN,airline,NN,3
WRB,is,VBZ,3
NN,flight,NN,3
NNP,Nahas,NNP,3
JJ,judiciary,NN,3
PRP$,brokers,NNS,3
NNP,Paulo,NNP,3
VBD,deemed,VBN,3
PRP$,attempt,NN,3
DT,Sino-British,JJ,3
JJ,counterpart,NN,3
NN,establishing,VBG,3
VBG,formal,JJ,3
TO,potential,JJ,3
MD,submit,VB,3
DT,Venezuelan,JJ,3
JJ,singer,NN,3
NN,radio,NN,3
IN,broadcasting,NN,3
PRP$,will,NN,3
JJ,privileges,NNS,3
CC,documents,NNS,3
",",fled,VBD,3
PRP$,homeland,NN,3
DT,Marcos,NNP,3
POS,alleged,VBN,5
VBD,bank,NN,3
NNP,died,VBD,3
MD,examine,VB,3
DT,midsized,JJ,3
NNP,appellate,JJ,3
IN,female,JJ,3
DT,UAW,NNP,3
MD,authorize,VB,3
IN,probation,NN,3
CC,young,JJ,3
``,political,JJ,3
NN,threatened,VBD,3
NNP,take,VB,4
JJR,employees,NNS,3
TO,dress,VB,3
VBP,foreign,JJ,3
JJR,generation,NN,3
IN,hits,NNS,3
IN,complete,JJ,3
JJ,crucial,JJ,3
DT,relative,JJ,4
VBD,Nissan,NNP,3
VBD,"5,000",CD,3
RBR,productive,JJ,3
WDT,moves,VBZ,3
JJ,shifts,NNS,3
VB,exciting,JJ,3
NN,sedans,NNS,3
JJ,coupe,NN,3
NNS,car,NN,3
IN,wide,JJ,3
VBZ,grabbed,VBN,3
RB,"10,000",CD,3
IN,alarm,NN,3
VB,optimistic,JJ,3
JJ,designs,NNS,3
CC,leaves,VBZ,3
DT,predecessor,NN,3
NNS,arm,NN,3
VB,behind,IN,6
NNP,Corolla,NNP,3
RB,revamped,VBN,4
VBD,advertising,VBG,5
:,almost,RB,3
RB,plenty,NN,3
IN,Lexus,NNP,3
",",sending,VBG,3
NNP,Oka,NNP,3
WP,led,VBD,3
RB,robust,JJ,3
PRP$,rivals,NNS,3
JJ,headaches,NNS,3
",",design,NN,3
NNP,Auto,NNP,3
IN,aggressive,JJ,3
NN,overseeing,VBG,3
JJ,MCA,NNP,3
IN,detailed,JJ,5
CC,agreements,NNS,3
RB,disrupt,VB,3
DT,arms-control,NN,3
DT,diversion,NN,3
CC,ethnic,JJ,3
IN,communism,NN,3
IN,ships,NNS,3
IN,sea,NN,3
NNS,cover,VBP,3
DT,subjects,NNS,3
FW,and,CC,3
IN,assuming,VBG,3
DT,come,VB,3
VB,land,NN,3
NN,gathering,NN,3
CD,meeting,NN,3
VBD,pulled,VBN,3
VBG,American,JJ,5
TO,loosen,VB,3
PRP$,grip,NN,3
IN,lending,NN,6
PRP$,Atlanta,NNP,3
JJ,branches,NNS,3
",",college,NN,3
",",various,JJ,3
VBD,justified,JJ,4
JJ,recourse,NN,3
IN,breaking,VBG,3
TO,mind,VB,3
DT,illustration,NN,3
DT,tendency,NN,3
RB,disturb,VB,3
NNS,guaranteed,VBN,3
JJ,posture,NN,3
JJ,conduct,NN,3
PRP,leave,VBP,4
JJ,criminals,NNS,3
NN,picking,NN,3
BOS,Assume,VB,3
TO,protest,VB,3
DT,authorities,NNS,3
NN,caught,VBD,3
IN,quickly,RB,3
JJ,protest,NN,3
VB,simply,RB,3
IN,fault,NN,3
RB,giving,VBG,3
VBG,great,JJ,3
VBZ,amazing,JJ,3
RBR,heavily,RB,3
TO,administer,VB,3
WP,fought,VBD,3
VBD,thousands,NNS,3
PRP$,cause,NN,3
BOS,Gov.,NNP,3
NN,legislature,NN,3
",",Kimberly-Clark,NNP,3
RB,enhanced,VBN,3
NN,pigs,NNS,3
JJ,deductions,NNS,3
WP,sought,VBD,3
CD,civil,JJ,3
IN,negligence,NN,3
NNP,urges,VBZ,3
DT,assessment,NN,3
",",Oregon,NNP,3
IN,Tax,NNP,3
NNP,Taxation,NNP,3
BOS,IRA,NNP,3
NN,violates,VBZ,3
:,investment,NN,3
CC,son,NN,3
PRP,claimed,VBD,3
NNP,managed,VBD,3
",",spent,VBD,3
NN,awarded,VBD,4
POS,Chapter,NN,3
POS,demands,NNS,3
WRB,such,JJ,3
DT,arbitration,NN,3
NNP,Burton,NNP,3
",",Eastern,NNP,3
VBZ,disputed,VBN,3
IN,circumstances,NNS,3
DT,infamous,JJ,3
NN,circles,NNS,3
VBZ,joining,VBG,3
VBG,directly,RB,3
VBZ,Nov.,NNP,3
PRP$,consulting,VBG,5
VBG,others,NNS,3
IN,thanks,NNS,3
IN,Backer,NNP,3
RBS,visible,JJ,3
NN,compensation,NN,3
VBN,few,JJ,3
NN,searches,NNS,4
VBD,Alan,NNP,3
PRP,picked,VBD,3
",",soon,RB,3
RB,earned,VBD,6
PRP,ultimately,RB,3
NNP,job,NN,3
PRP,struck,VBD,3
RB,begin,VB,5
IN,pure,JJ,3
BOS,Leonard,NNP,3
VBZ,cotton,NN,3
",",developed,VBN,5
DT,outspoken,JJ,3
POS,ads,NNS,3
VBD,tied,VBN,3
NN,label,NN,3
VBZ,Tom,NNP,3
",",advertising,VBG,5
JJ,audiences,NNS,3
PRP,founded,VBD,3
VBD,hospitalized,VBN,3
IN,thought,NN,3
JJ,pleasantries,NNS,3
RP,several,JJ,3
NNS,follow,VBP,3
-LRB-,former,JJ,3
TO,liberalize,VB,3
RB,manage,VB,3
:,then,RB,4
CC,open,JJ,5
DT,deficits,NNS,3
TO,dispose,VB,3
PRP,over,IN,7
PRP,show,VBP,4
``,making,VBG,3
DT,diminished,JJ,3
JJ,might,NN,4
BOS,Can,MD,3
NN,forward,RB,3
VB,aid,NN,3
JJ,shocks,NNS,3
CC,showed,VBD,3
NN,nerves,NNS,3
IN,magnetic,JJ,3
CC,dozens,NNS,3
JJ,circuits,NNS,3
NN,function,NN,3
VBZ,Keith,NNP,3
CD,commercial,JJ,3
JJ,therapy,NN,3
IN,surgery,NN,3
VBG,close,JJ,5
DT,injury,NN,3
NN,stimulators,NNS,3
RB,induce,VB,3
MD,someday,RB,3
VBP,exploring,VBG,3
",",certain,JJ,3
NNP,Alamos,NNP,3
NNP,Ridge,NNP,3
",",Du,NNP,3
NNP,laboratory,NN,3
TO,foster,VB,3
PRP$,countrymen,NNS,3
VB,Mexico,NNP,3
NNP,Components,NNP,3
NNP,ranks,VBZ,3
JJR,help,NN,3
",",faces,VBZ,3
VBZ,congressional,JJ,3
WDT,so,RB,3
MD,consume,VB,3
NNP,Suzuki,NNP,3
NN,waiting,VBG,3
DT,gate,NN,3
TO,appreciate,VB,3
VBZ,sending,VBG,3
JJ,domain,NN,3
PRP$,bosses,NNS,3
JJ,tourism,NN,3
JJS,hope,NN,3
CD,industry,NN,3
NN,assembly,NN,3
NN,foreign,JJ,3
NNP,Action,NNP,3
",",currency,NN,3
POS,near-term,JJ,3
VBZ,mixed,JJ,5
JJ,rebound,NN,3
NN,predicted,VBD,3
IN,midmorning,NN,3
DT,bullish,JJ,3
NNP,eases,VBZ,3
VBZ,interest,NN,3
IN,collateral,NN,4
NN,marked,VBD,4
JJS,monthly,JJ,3
JJ,tumble,NN,3
NN,differentials,NNS,3
JJ,widening,NN,3
",",knocking,VBG,3
NNP,Kakita,NNP,3
NNP,equities,NNS,3
VBP,comfortable,JJ,3
VB,key,JJ,3
BOS,Alfred,NNP,3
NNP,Baer,NNP,3
RB,seeing,VBG,3
JJ,buildup,NN,3
CC,sterling,NN,3
",",helping,VBG,3
VBD,originally,RB,3
VBN,reluctant,JJ,3
TO,abolish,VB,3
NN,disappears,VBZ,3
JJR,wage,NN,3
CD,individual,NN,3
NNS,changes,NNS,4
CC,interest-rate,NN,4
DT,incidents,NNS,3
VBN,separately,RB,3
JJ,interest-rate,NN,5
DT,lopsided,JJ,3
VB,worked,VBN,3
DT,procedures,NNS,3
``,private,JJ,3
WP,founded,VBD,3
VBN,California,NNP,3
VBZ,learned,VBN,3
IN,rats,NNS,3
CC,worked,VBD,3
JJR,clients,NNS,3
DT,divestiture,NN,3
NNP,saw,VBD,3
IN,rapid,JJ,3
VBD,company,NN,3
DT,Pinkerton,NNP,3
IN,unprofitable,JJ,3
POS,will,MD,3
NN,roughly,RB,3
DT,inventory,NN,3
VBZ,traditionally,RB,3
BOS,Farm,NN,3
PRP$,rise,NN,3
WDT,agreed,VBD,3
DT,long-awaited,JJ,3
VBN,tender,NN,3
VB,immediately,RB,3
BOS,News,NN,6
VBG,HUD,NNP,3
NNP,grants,NNS,3
NNP,story,NN,3
NN,pot,NN,3
TO,special,JJ,3
$,"124,875",CD,3
NNP,want,VBP,3
JJ,ink,NN,3
DT,points,NNS,3
MD,wind,VB,3
VBZ,toying,VBG,3
JJ,HUD,NNP,3
VB,vast,JJ,3
:,Congress,NNP,3
IN,Members,NNS,3
JJ,discretionary,JJ,3
CC,call,VB,6
JJ,witnesses,NNS,3
JJ,sponsors,NNS,3
VBG,bad,JJ,3
VBN,signed,VBN,3
DT,lives,NNS,3
DT,communities,NNS,3
JJ,legislature,NN,3
VB,supplies,NNS,3
NNP,Mikhail,NNP,3
RBS,difficult,JJ,3
NN,anticipates,VBZ,3
VBZ,income,NN,3
BOS,Tass,NNP,3
NN,When,WRB,3
IN,precision,NN,3
:,With,IN,3
VBN,rumored,VBN,3
IN,liberal,JJ,3
VB,rising,VBG,3
NNS,ultimately,RB,3
TO,re-examine,VB,3
IN,radical,JJ,3
DT,politics,NNS,3
NN,dealing,VBG,4
NN,matters,NNS,5
VBP,dealing,VBG,3
VBG,industrial,JJ,3
IN,Pittston,NNP,3
NN,discipline,NN,3
PRP,asserts,VBZ,3
IN,revamping,VBG,3
JJ,health-care,NN,4
DT,uninsured,JJ,3
DT,magic,JJ,4
DT,effectiveness,NN,3
JJ,treatments,NNS,3
IN,limiting,VBG,3
``,necessary,JJ,3
-LRB-,it,PRP,3
MD,impose,VB,3
RP,three,CD,3
",",Ontario,NNP,3
TO,lease,VB,3
NNP,Grove,NNP,3
JJ,reception,NN,3
NNP,Laidig,NNP,3
VBP,hopeful,JJ,3
JJ,closed,VBD,3
NN,takeovers,NNS,3
IN,hostile,JJ,3
RB,overdue,JJ,3
IN,happening,VBG,3
RB,easier,JJR,4
WRB,most,JJS,4
VBP,pulp,NN,3
DT,dive,NN,3
NN,boxes,NNS,3
WRB,far,RB,4
DT,drag,NN,3
POS,book,NN,3
VBN,closer,RBR,3
VBD,Georgia-Pacific,NNP,3
IN,tens,NNS,3
DT,fit,NN,3
IN,opportunity,NN,3
VBZ,suspended,VBN,3
WDT,limits,VBZ,3
JJ,recapitalization,NN,3
CC,Katz,NNP,3
NN,succeeds,VBZ,3
NNS,mentioned,VBN,4
VBD,Lawrence,NNP,3
JJR,big,JJ,3
NN,beats,VBZ,3
TO,soar,VB,3
NNP,Freedman,NNP,3
DT,considerably,RB,3
IN,private-sector,JJ,3
NNS,leaped,VBD,3
",",unions,NNS,3
IN,elsewhere,RB,3
PRP$,Chicago,NNP,3
JJ,Mesa,NNP,3
PRP,values,VBZ,3
",",Mesa,NNP,3
CD,carriers,NNS,3
WDT,settled,VBD,3
DT,indicates,VBZ,3
PRP$,November,NNP,3
CD,first,JJ,3
PRP$,first-half,JJ,3
RB,indicative,JJ,3
NN,shopping,NN,3
",",Home,NNP,3
PRP$,general,JJ,3
JJ,celebration,NN,3
PRP,begins,VBZ,3
JJ,advocates,NNS,3
VB,Philip,NNP,3
DT,cornerstone,NN,3
PRP$,roots,NNS,3
CC,Miller,NNP,3
NN,shelves,NNS,3
RB,exclusively,RB,3
:,whether,IN,3
VBZ,Guy,NNP,3
NNP,typically,RB,3
DT,killer,NN,3
NN,critic,NN,3
VBZ,perfectly,RB,3
DT,Greenwich,NNP,3
",",RJR,NNP,3
